明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
但自从被《申报》重金礼聘去当总编辑以后，也许是四为报受到立完派的张謇等影响过多、控制过严吧，他以“冷”的署名写的“时评”和“小言”，吞吞吐吐，有时简直不知所云，真如一般人批评的，看了像读《太上感应篇》一般，《时事新报》有署名“东荪”的评论，似乎言之有物，但文词啰嗦，不着边际。	Complex 75 79 不知所云
一家人的生活全压在他肩膀上。	Complex 10 12 肩膀
队伍翻过了一座大山，眼前是一块平坦的山场，贺龙同志仔细观察了地形，然后传了一道命令，要全体指战员把草帽摘下丢在路边。	Hard 45 48 指战员
再看爸爸，他像老虎一样直瞪着我，哎哟，一根开花的小桃枝迎面插在他梳得油光光的头发里。	Complex 12 14 瞪着
真君撞进门，大圣见了，现出本相道：“郎君不消嚷，庙宇已姓孙了。”	Hard 20 23 不消嚷
真要勉用文字来着色，也不过像谢灵运的一些名句“云日相晕映，空水共澄鲜”或是“出谷日尚早，入舟阳已微。	Hard 38 43 出谷日尚早
到国外以后，在我的怀念中增添了祖国母亲。	Complex 12 14 增添
我希望读者从这粗枝大业的讨论中，可以领略运用文字所应有的谨严精神。	Complex 7 11 粗枝大业
世界上许多民族都有关于火的崇拜、火的禁忌的习俗。	Complex 13 15 崇拜
它把西瓜的瓤涂红了。	Hard 5 6 瓤
鹅听见了，就竖起头来，侧着眼睛看了看，竟爬到岸上，一摇一摆地、神气地走过来；还伸长脖子，“吭吭”地叫着，扑打着大翅膀，好像眼里根本没有我们似的。	Complex 25 29 一摇一摆
街道既那么窄，结果站在最前线上的特派员同四十多个青年学生与农民，便全在城门边牺牲了。	Hard 16 19 特派员
我一时不知所措,窘得满脸通红。	Hard 8 10 窘得
从窗内往外看时，那一朵白莲已经谢了，白瓣儿小船般散飘在水面。	Complex 24 26 散飘
我常为现在我院中的那两只大呆鸟感到难过，它们似乎已经没有了日升飞出日落飞回的习惯，大白天都蹲在城里无所事事，而且也不敢肆无忌惮地大叫，老鸹不老呱了，怪可怜的。	Hard 67 72 老鸹不老呱
一方的异彩，揭去了满天的睡意，唤醒了四隅的明霞——光明的神驹，在热奋地驰骋。	Hard 18 20 四隅
裂片大小疏密，片峰尖平，都因品种而不同。	Complex 2 6 大小疏密
有弗学，学之弗能弗措也；有弗问，问之弗知弗措也；有弗思，思之弗得弗措也；有弗辨，辨之弗明弗措也；有弗行，行之弗笃弗措也。	Hard 48 51 有弗行
书主被糟蹋到这种程度，怎能不潸然泪下欤。	Hard 14 18 潸然泪下
大约半月后的一天下午，刘伯承又同几个穷家小户的细娃在张家河坝嬉耍。	Complex 30 32 嬉耍
后来它们言归于好，又开始像原先那样痴呆地进行工作，但是那只瘸腿的蚂蚁老大吃亏，无论它怎样使大劲拽，另一只蚂蚁仍旧把那胜利品连同吊在末端上的它一起拉了过去。	Complex 4 8 言归于好
山岚云气漫入车窗又溢出车厢而去。	Complex 0 2 山岚
时云长在侧曰：“某闻管仲、乐毅乃春秋、战国名人，功盖寰宇；孔明自比此二人，毋乃太过？”	Hard 24 28 功盖寰宇
天越冷越好，浆得野鸡连眼睛都睁不开。	Hard 6 7 浆
过了好几个礼拜，这个可怜的家伙才渐渐从它因长期禁锢所受的精神虐待中恢复过来。	Complex 23 25 禁锢
是在我没有一点准备、一丝预料的时刻，宇宙便把它那无与伦比的光华、丰采，全部展现在我的眼前了。	Complex 12 14 预料
我决心要揭开金蝉脱壳的秘密。	Complex 6 10 金蝉脱壳
及至始皇，奋六世之余烈，振长策而御宇内，吞二周而亡诸侯，履至尊而制六合，执敲扑而鞭笞天下，威振四海。	Hard 16 19 御宇内
小鸭只好用他的一双腿不停地游动，免得水完全被冰封住。	Complex 22 24 冰封
南极离得越来越近了，她拿着一只用蜡封严瓶口的啤酒瓶，兴冲冲跑到右舷。	Hard 31 33 右舷
深蓝色的天空里悬着无数半明半昧的星。	Complex 11 15 半明半昧
水要喷出来，或者身体哪里破了流血，它立即上去按住；护士给病人打针时它要负责把注射液推入人体；握扫帚把柄时，它要独当一面；攥、捏、握、捻、弹、揪都离不开它。	Hard 66 67 捻
希腊人民奋起反抗,以一万人对付波斯帝国的十万大军,在海边一个叫马拉松的小渔村和敌人展开了决战,结果大获全胜。	Complex 4 8 奋起反抗
英国方面同时入场并登上主席台主礼台的有查尔斯王子、首相布莱尔、外交大臣库克、离任港督彭定康、国防参谋长查尔斯·格思里。	Complex 40 42 港督
但是凤穿牡丹主题画，必在牡丹花成为人民心目里“花中之王”，而凤穿牡丹且具有春风独占的爱情喻义后，才会普遍使用作人民艺术共通的题材。	Complex 44 46 喻义
次日早起五更，在府里把担仗都摆在厅前，老都管和两个虞候又将一小担财帛，共十一担，拣了十一个壮健的厢禁军，都做脚夫打扮。	Hard 48 51 厢禁军
像鸽子笼一般地分得均匀，每边八排，每排五户，一共八十户一楼一底的房屋，每间工房的楼上楼下，平均住着三十二三个“懒虫”和“猪猡”，所以，除了“带工”老板、老板娘、他们的家族亲戚和穿拷绸衣服的同一职务的打杂、请愿警之外，这工房区域的墙圈里面住着二千左右衣服褴褛而替别人制造衣料的“猪猡”。	Hard 89 91 拷绸
月色豫胧的夜半，有一二猎夫，会效仿麂子的嘶声，往往登高一呼，麂子便成群地走来。……	Hard 17 19 麂子
那些属于所谓同属的生物都是另一个并且一般是已经绝灭的物种的直系后代，这与任何一个物种的公认的变种是该物种的后代，是同样的情形。	Hard 46 48 变种
《易经》和《老子》大部分是韵语，《庄子》等书也有一些韵语。	Hard 13 15 韵语
鲁达坐下道：“奉着经略相公钩旨，要十斤精肉，切做臊子，不要见半点肥的在上头。”	Hard 9 15 经略相公钩旨
三峡，注定是一个不安宁的渊薮。	Hard 12 14 渊薮
那个满脸横肉的便衣侦探指着父亲问阎振三：“你认识他吗？”	Hard 16 19 阎振三
很显然，这个窗户俯瞰着一座公园，公园里面有一泓湖水，湖面上照例漫游着一群群野鸭、天鹅。	Hard 21 23 一泓
就这样，我们总是为了寻开心，揪掉这些不引人注目的小花。	Complex 19 23 引人注目
例如《诗经·鲁颂》的《駉》这一首诗里提到马的名称就有16种：“驈”(身子黑而胯下白的)，“皇”(黄白相间的)，“骊”(纯黑色的)，“黄”(黄而杂红的)，“骓”(青白杂的)，“駓”(黄白杂的)，“騂”(红黄色的)，“骐”(青黑成纹像棋道的)，“驒”(青黑色而有斑像鱼鳞的)，“骆”(白马黑鬃)，“駵”(红马黑鬃)，“雒”(黑马白鬃)，“駰”(灰色有杂毛的)，“騢”(红白杂毛的)，“驔”(小腿长白毛的)，“鱼”(两眼旁边毛色白的)。	Hard 107 108 骐
旧籍记载荔枝，说到有的品种皮粗厚，刺尖，唐代徐夤诗云“龙绢壳绽红纹粟”，就已观察到这种构造。	Hard 27 34 龙绢壳绽红纹粟
李白诗云“燕山雪花大如席”，不知有几万、几十万朵雪花才能黏连成一片席那么大呢！	Hard 9 12 大如席
在随后的发育中，手指开始慢慢成长，手指之间的蹼渐渐退化。	Hard 22 23 蹼
小哪吒可机灵啦，身子一闪，躲过了这一斧头，随便取下乾坤圈，向夜叉扔去。	Hard 30 32 夜叉
宋朝的时候,有一回黄河发大水,冲断了河中府城外的一座浮桥。	Hard 26 28 浮桥
他脸上老是有菜色，	Hard 6 8 菜色
秋天，它结下了沉甸甸的种子，种子便毅然跳进了峡谷的怀抱，献身于那没有阳光的“地下”。	Complex 28 30 献身
然而令人始料不及的是，这里竟成了斑贝的“天堂”。	Complex 16 18 斑贝
当我们劝他搬家时，钱老说：“我现在的住房条件比和我同船归国的那些人都好，这已经脱离群众了，我常常为此感到不安，我不能脱离一般科技人员太远。”	Complex 39 41 脱离
假如你要报恩，那就请你回去后，不要对人说我在这里，因为人们贪图我的皮角，万一坏人知道了，一定会来伤害我的。	Hard 33 35 皮角
小芹一个人悄悄跑到前庄上去找小二黑，恰在路上碰上小二黑去找她，两个就悄悄拉着手到一个大窑里去商量对付三仙姑的法子。	Complex 42 44 大窑
母亲叫我和小帮工把曲一粒粒拣出来，不然就会愈来愈多的。	Hard 9 10 曲
溪西一带山，俱似鹦绿鸦背青，上有腥红云五千尺，开一大洞，逗出缥天，映水如绣铺赤玛瑙。	Hard 6 8 俱似
在传统的石拱桥的基础上，我们还造了大量的钢筋混凝土拱桥，其中“双曲拱桥”是我国劳动人民的新创造，是世界上所仅有的。	Hard 22 25 混凝土
去年的粜价是七块半，今年的米价又卖到十三块，不，你先生说的，十五块也卖过；我们想，今年总该比七块半多一点吧。	Hard 3 5 粜价
马路上没有人，也没有汽车，但红灯亮了，立即从自行车上下来，等在标志线前的小伙子。	Hard 31 34 标志线
金龟子发音的部位在腹部末端。	Complex 0 3 金龟子
玄德徐步而入，见先生仰卧于草堂几席之上。	Hard 15 17 几席
胶皮笔囊内没有夹管，吸墨水时，捏一下，鼓起缓慢。	Hard 2 4 笔囊
若果他那文章还值得称引，我们尚可以就“沅有芷兮澧有兰”与“乘舲上沅”这些话，估想他当年或许就坐了这种小船，溯流而上，到过出产香草香花的沅州。	Hard 19 26 沅有芷兮澧有兰
我不禁头涔涔而泪潸潸了。	Hard 7 10 泪潸潸
但是到了第二天早晨，船在绕着房总半岛转的时候，不知什么缘故，那位父亲牵着五岁的二儿子的手，无精打采地走进那财主的太太的客舱。	Complex 45 49 无精打采
香菱笑道：“我只爱陆放翁的诗‘重帘不卷留香久，古砚微凹聚墨多’，说的真有趣！”	Hard 23 30 古砚微凹聚墨多
少年曰：“某乃卧龙之弟诸葛均也。	Hard 5 15 某乃卧龙之弟诸葛均也
向下看，怪石突兀，绿树掩映，浩浩荡荡的雅鲁藏布江自西而来，然后转向，绕着南迦巴瓦峰作马蹄形大拐弯，向南奔腾而去。	Complex 11 13 掩映
他们早就形成了对他的主观概念，希望从他身上找见威严非凡的东西，希望看到一个貌似天父的美髯公，集尊贵、轩昂、伟岸、天才于一身。	Hard 42 45 美髯公
刘备叫人立即备马。	Complex 6 8 备马
因为松散而任人宰割，因为松散而过于低贱，因为松散而形不成气候，更形不成风景。	Complex 5 9 任人宰割
也幸而有各式各样的人，假如世界上全是文学家，到处所讲的不是“文学的分类”便是“诗之构造”，那倒反而无聊得很了。	Complex 4 8 各式各样
除了供查诗韵外，它还把各种物象、各种情景、各种心绪分门别类，纂集历代相关诗句，成了一部颇为齐全的诗歌词典。	Hard 30 32 纂集
然秦以区区之地，致万乘之势，序八州而朝同列，百有余年矣；然后以六合为家，崤函为宫；一夫作难而七庙隳，身死人手，为天下笑者，何也？	Hard 48 49 隳
风扇是使空气流动的唯一途径。	Complex 11 13 途径
围坐在篝火旁边的，有董必武、徐特立、谢觉哉、成仿吾、冯雪峰、邓颖超、贺子珍、李伯钊等数十名男女红军。	Complex 3 5 篝火
姚文的“下有红光，动摇承之”十分高明，把动感表现得灵活之至。	Hard 9 13 动摇承之
故乡的河流名不见经传：只是淮河上的一个小支流，她却有一个雄伟的大名——浉。	Hard 35 36 浉
妙极了，它真没有走去，我们很快就在葡萄叶儿上，磁花盆儿上，爷爷的锨刃儿上发现了。	Hard 32 35 锨刃儿
这时我第一次向地面报告飞行状态：“‘神舟五号’报告，整流罩打开正常！”	Hard 26 29 整流罩
如果和哪个人发生了不愉快的事，更要去拜访，那个人也要回访，于是大家就和好如初了。	Complex 34 38 和好如初
1910年他加入同盟会，筹款资助孙中山先生领导的辛亥革命；抗日战争爆发，他担任南洋华侨总会主席，捐资抗日，不顾危险，亲身回国考察战事、慰劳将士。	Hard 41 43 华侨
我把一张小桌子搬到外边来，很隐蔽地坐在绿森森的灌木丛中。	Complex 19 22 绿森森
一句话，生命在运动，就会发出各种各样的声音，这些声音汇合在一起，组成了一支“生命奏鸣曲”。	Complex 14 18 各种各样
后来，铁路工务段派来刘长喜——人称“老刘头”来看桥。	Hard 5 8 工务段
心下想时，只见一群媳妇丫鬟围拥着一个人从后房门进来。	Hard 11 13 丫鬟
倘若你在这样一个隆冬季节，站在小屋的前边，望着被积雪压弯了的屋顶、光秃秃的树枝、黑洞洞的窗口，你就会感到，你是和肖邦在一起。	Complex 33 36 光秃秃
河中忽然传来了刘伯承的声音：“李震同志，能架桥呀！	Complex 21 23 架桥
他环顾四周，看到一位浓眉大眼的小同学正在若有所思，就在走过去，亲切地说：“小同学，你也来说说。”	Complex 20 24 若有所思
正吃时，只听得外面必必剥剥地爆响。	Complex 9 13 必必剥剥
冈重岭复，乔木苍苍。	Hard 5 9 乔木苍苍
至此，滚滚黄河完成了曲折壮丽的漫长行程。	Complex 3 5 滚滚
小男孩摆弄了很久很久，说：“一切准备停当。”	Hard 18 20 停当
第二天早晨，医护人员送来了漱洗水，发现那个病人早已咽气了，他们静悄悄地将尸体抬了出去，丝毫没有大惊小怪。	Complex 25 27 咽气
大家立刻都赞成，和开船时候一样踊跃，三四人径奔船尾，拔了篙，点退几丈，回转船头，驾起橹，骂着老旦，又向那松柏林前进了。	Complex 42 43 橹
当我刚刚能够歪歪咧咧地提着一个篮子跑路的时候，我就跟在大姐姐身后拣麦穗了。	Complex 33 35 麦穗
可是，我却根本没把这些警告放在心上。	Complex 11 13 警告
线绕在锭子上，线穗子一层一层加大，直到大得沉甸甸的，像成熟了的肥桃。	Hard 3 5 锭子
小芹那年才九岁，晌午做捞饭，把米下进锅里了，听见她娘哼哼得很中听，站在桌前听了一会，把做饭也忘了。	Hard 11 13 捞饭
黄鸟和小巧玲珑的白眉鸫,尖声尖气地吹着笛子。	Hard 8 11 白眉鸫
画笔扑通一声浸进松节油，继而扔进蓝色和白色颜料中，在我那块调色板上疯狂地搅拌起来，然后在吓得簌簌直抖的画布上肆意汪洋地涂了好几笔蓝色。	Complex 46 50 簌簌直抖
这个敌手没有自己的网，也可能已经耗尽了积蓄下来的汁液，因而现在不得不跑来侵犯它的邻居。	Complex 19 21 积蓄
满腔热情，感人至深！	Complex 5 9 感人至深
但是，帝王却把“文死谏”和“武死战”并列，要求臣子不顾身家性命，把“犯颜直谏”当做忠臣的表率。	Hard 8 11 文死谏
还有的，因为中了暑，或是发痧，走着走着，一头栽到地上，永不起来。	Hard 12 14 发痧
收拾好你自己的一摊子。	Complex 7 10 一摊子
松鼠不像山鼠那样，一到冬天就蛰伏不动。	Hard 14 16 蛰伏
曾子还说哩：“任重而道远”，“死而后已，不亦远乎！”	Hard 20 24 不亦远乎
写一会儿，他放下笔，搓搓手，提提精神再写。	Complex 10 11 搓
崔杼等他写好,拿过竹简一看,上面写着:“夏五月,崔杼谋杀国君光。”	Hard 24 26 崔杼
独夜卧人静，风涛汹汹，直逼枕簟，鱼龙舞啸，其形声时入梦寐间，意洒然快也。	Hard 30 33 意洒然
脱皮鞋的大象一点儿也不理会女士的喊叫，用鼻子挥舞着皮鞋，绕着围观的人群转了一圈，才不慌不忙地回到那位女士身边，把皮鞋还给了她。	Complex 41 45 不慌不忙
李小二道：“官人请甚客？”	Hard 9 11 甚客
制造原子弹的工作异常危险，尤其是插雷管，万一发生问题，所有在场的人霎时就会化为灰烬。	Hard 17 19 雷管
那只大虫咆哮着，发起性来，翻身又扑起来。	Hard 8 12 发起性来
还有人燃烧砍伐来的青竹子，发出噼噼啪啪的声音和光，这就是爆竹的来历。	Complex 28 30 爆竹
只听“喳喳”声，落发知多少！	Complex 8 13 落发知多少
每到水势缓慢的洄水涡，都有鱼儿在欢快地跳跃。	Hard 7 10 洄水涡
认儿子不是好开交的呢。	Hard 6 8 开交
举人的太太，我管她叫奶奶，她很喜欢我。	Hard 0 2 举人
让我把这个链条重说一遍。	Complex 5 7 链条
唯其如此，才需要我们日以继夜，终生的追求、苦练；要不然大家做了羲皇上人，垂手而天下治，做人也太腻了！	Hard 36 42 垂手而天下治
许先生用筷子来回地翻着饭桌上菜碗里的东西，菜拣嫩的，不要茎，只要叶，鱼肉之类，拣烧得软的，没有骨头没有刺的。	Complex 39 40 拣
金镀在全部铜丝上，方法用电镀。	Hard 12 14 电镀
于是，它果然爬起来，拖着它那毫无价值的捕获物攀到了顶巅——它做这样聪明的事，有如我背着一袋面粉从海德堡去巴黎，却绕道攀登施特拉斯堡的尖塔一样。	Complex 25 27 顶巅
太阳光经过三棱镜或水滴的折射，会分成红、橙、黄、绿、蓝、靛、紫七种颜色。	Complex 5 8 三棱镜
在安造垸，他们救出了被洪水围困了三天三夜的幼儿园老师周运兰；在簰州湾，他们给攀上树梢等待了近九个小时的小江珊以生的希望……	Hard 1 4 安造垸
我们不要重蹈希腊人的覆辙，他们认为希腊精神是绝无仅有的，他们还忽视犹太精神，把外国人一律视为野蛮人，他们最后衰亡，一落千丈，就像他们的胜利顶峰曾高耸入云一样。	Complex 72 76 高耸入云
范进即将这银子交与浑家打开看，一封一封雪白的细丝锭子，即便包了两锭，叫胡屠户进来，递与他道："方才费老爹的心，拿了五千钱来。	Hard 24 26 锭子
成就的太小、高低，是不在我们掌握之内的，一半靠人力，一半靠天赋，但只要坚强，就不怕失败，不怕挫折，不怕打击，不管是人事上的，生活上的，技术上的——打击；从此以后你可以孤军奋斗了。	Complex 29 31 天赋
鲁智深和杨志从此当了山寨寨主。	Complex 10 12 山寨
他们的草屋，稀稀疏疏的在雨里静默着。	Complex 6 10 稀稀疏疏
手臂很长，此时无事可做，垂下来，抱着身体。	Complex 12 13 垂
一位中国诗人说：“言有尽而意无穷。”	Hard 9 16 言有尽而意无穷
天空是暗的，但雨却闪着光；田野是静的，但雨在倾诉着。	Complex 22 24 倾诉
她笑着用两手在冷水里刨抓。	Complex 10 12 刨抓
有一种叫作“碳纳米管”的神奇材料，比钢铁结实百倍，而且非常轻，将来我们有可能坐上“碳纳米管天梯”到太空旅行。	Complex 41 47 碳纳米管天梯
我这熊熊地燃烧着的生命，我这快要使我全身炸裂的怒火，难道就不能迸射出光明了吗？	Complex 31 33 迸射
田间与灌木篱下，横陈着田凫、椋鸟、画眉等数不清的腐鸟的血衣，鸟儿的肉已被隐秘的老饕吃净了。	Complex 24 26 腐鸟
手术完成之后，用相同频率的电脉冲刺激换核卵，让苏格兰黑面羊的卵细胞质与芬多席特母羊乳腺细胞的核相互协调，使这个组装细胞在试管里经历受精卵那样的分裂、发育而形成胚胎的过程。	Complex 41 45 乳腺细胞
野司、直属队、南下干部再加上六纵，相当于7个旅的人马要从这里渡河，必须要在今明两天全部渡完。	Complex 30 32 渡河
城中军营里，税关局长公馆，河街上一些大字号，莫不预先截老毛竹筒，或镂空棕榈树根株，用洞硝拌和磺炭钢砂，一千槌八百槌把烟火做好。	Hard 53 54 槌
它“是一首精巧的诗”，“一首韵在骨子里的散文诗”，言有尽而意无穷。	Hard 25 32 言有尽而意无穷
在荷叶底下，石头缝里，旮旮旯旯，不知还隐藏着多少骨朵，都是在岸边难以看到的。	Hard 11 15 旮旮旯旯
至于视觉经验，也都表现得很有动感：写荷花迎风则“红披绿偃，摇荡葳蕤”，写微风拂水则“细生鳞甲”，写流萤则“（幽火）班班，若骇若惊，奄忽去来”，写山则“森森欲下搏人”。	Hard 60 64 若骇若惊
这时，戴嵩把牧童叫到跟前，和蔼地说：“小兄弟，我很愿意听到你的批评，请你说说什么地方画错了？”	Complex 3 5 戴嵩
我们终于走到草地边上，远处，重重叠叠的山峰已经看得见了。	Complex 14 18 重重叠叠
再还有‘日落江湖白，潮来天地青’：这‘白’‘青’两个字也似无理。	Hard 10 15 潮来天地青
“老人满面愁容，叹息着回答，”我，我什么也没有得到。	Complex 3 7 满面愁容
蝈蝈有着有力的大颚、锐利的钳子，不能把它的俘虏开膛破肚的情况极少出现，因为蝉没有武器反驳，只能哀鸣踢蹬。	Complex 23 27 开膛破肚
城春草木深，孟夏草木长。	Hard 0 5 城春草木深
更有殷勤的，跑回来偷拿了红薯、土豆，在火堆里煨熟给演员作夜餐，赚得进屋里有一个安全位置。	Hard 22 24 煨熟
其时进来的是一个黑瘦的老师，八字须，戴着眼镜，挟着一迭大大小小的书。	Hard 25 27 一迭
不但诗赋骈体文能有抑扬的美，散文也能有抑扬的美，不过作家们在散文中把平仄的交替运用得稍为灵活一些罢了。	Complex 9 11 抑扬
除了嘲笑那不幸的犯人的口渴之外，四周没有人出声。	Complex 2 4 嘲笑
“蘖”、“绝”、“拔”押韵，“生”、“形”押韵。	Hard 1 2 蘖
我们要铭记“滴水穿石”给予我们的启示：目标专一而不三心二意，持之以恒而不半途而废，就一定能够实现我们美好的理想。	Complex 30 34 持之以恒
每当我们读文天祥的《正气歌》“天地有正气，杂然赋流形，下则为河岳，上则为日星……”	Hard 30 32 河岳
事实上，在火山活动地区至今没有发现过斯石英。	Hard 18 21 斯石英
那泼贱贼敢来这里害我！	Complex 1 4 泼贱贼
将来，这里会是一片更茂密的松树林。	Complex 10 12 茂密
我不由地生出一种在旅游点必产生的似曾相识的无聊感。	Complex 16 20 似曾相识
手术完成之后，用相同频率的电脉冲刺激换核卵，让苏格兰黑面羊的卵细胞质与芬多席特母羊乳腺细胞的核相互协调，使这个“组装”细胞在试管里经历受精卵那样的分裂、发育而形成胚胎的过程。	Hard 36 39 多席特
乌罕娜把达丽玛送到家门前，扭身走了。	Complex 13 15 扭身
他还建立了非常美的科学的宇宙模型。	Complex 14 16 模型
有人把地毯铺在马车上，把装茶炊的箱子放在踏脚的地方。	Complex 13 15 茶炊
明屠本畯有一首诗，叙述煎荔枝的方法，说“旋沉荔花蜂酿蜜，清香不减蔗浆寒”，大概是关于荔枝蜜最早的记载。	Hard 20 27 旋沉荔花蜂酿蜜
凡此种种，都是装备在蜘蛛身上的战斗武器，而它编织的网更是它主要的武器，因此，它总是要竭尽全力，把丝网织得尽善尽美。	Complex 22 24 编织
缅伯高晓行夜宿，餐风饮露，来到陕西沔阳，离京城已经不远，见一片湖水在前，十分清澈。	Hard 17 19 沔阳
三个圆券门上方，镌刻着“民族”、“民权”、“民生”六字，室内有12根黑色花岗石圆柱，护壁为黑色大理石，左右壁上刻有中山先生的《国民政府建国大纲》全文。	Hard 8 10 镌刻
我们今天所说的远远不够表达我们内心的真实情感，言语在我们的不幸面前显得如此软弱无力：它们根本无法寄托我们对你们深深爱着的、同时也是我们所敬佩的英勇献身的人们的哀思。	Complex 79 81 哀思
像有一只巨人的手拿着明晃晃的大刀在外边想挑破那灰色的幔，像是这巨人已在咆哮发怒;越来越紧了，一闪一闪满天空瞥过那大刀的光亮，隆隆隆,幔外边来了巨人的愤怒的吼声!	Hard 26 27 幔
家乡有一句“紧走搭石慢过桥”的俗语。	Hard 6 8 紧走
在熹微的晨光里，他看见不远处有一栋小小的、红色屋顶的农家。	Hard 1 3 熹微
狐狸笑了笑，把奶酪拿过来掰成了两半。	Complex 7 9 奶酪
岸边的渔火，江心的灯标，接连地亮起，连同它们在水面映出的红色光晕，使长江像是眨着眼睛，沉沉欲睡。	Complex 43 47 沉沉欲睡
柳枝儿抱回家来，奶奶便把柳叶儿捋进盒里、筐里，然后烧一锅开水煮，煮好之后，又捞进凉水里泡。	Hard 15 16 捋
教堂钟声的加入，常常使这“免费音乐会”达到高潮。	Complex 21 23 高潮
从祖父和那长年谈话里，翠翠听明白了二老是在下游六百里外沅水中部青浪滩过端午的。	Hard 27 29 沅水
因为如果是故障，重复出现的概率并不高。	Complex 5 7 故障
它们自由得就像思想一样，东奔西跑，变化无常。	Complex 17 21 变化无常
前日我出城去，碰见了你们三房里的老四，坐着好体面车，又带着四五辆车，有四五十和尚道士儿，往家庙去了。	Hard 22 24 体面
魁梧黧黑的渔夫拖着湿淋淋的被撕破了的鱼网，一边走进来，一边说：“嘿，我回来啦，桑娜！”	Hard 0 4 魁梧黧黑
一种是“海溜”，最大，色黑，叫声洪亮。	Hard 4 6 海溜
父亲因为事忙，本已说定不送我，叫旅馆里一个熟识的茶房陪我同去。	Complex 24 26 茶房
随后就可以听到一阵喉音，以及趿拉着木皮拖鞋踏在窄狭木楼梯的踢踏声；他终于站在来客的面前，上身没有穿外衣，背有点儿弯，腰间围着皮围裙，袖子往上卷起，眼睛眨动着——像刚从靴子梦中惊醒过来，或者说，像一只在日光中受了惊动因而感到不安的猫头鹰。	Hard 14 16 趿拉
然后这个不幸的人自己要求他们将他留在睡袋里，把自己的命运和他们的命运分开来。	Complex 18 20 睡袋
是什么东西让蟋的三对脚活动起来的呢？	Hard 6 7 蟋
荷兰侵略者惊恐万状，他们利用传教士四处活动，散布谣言，说郑成功的军队要抢粮食，挑拨汉族和高山族的关系，破坏郑成功军队和台湾各族人民的团结。	Hard 14 17 传教士
的钓线一样，准确无误地向恰尔德饭店抛出一个长长的单列纵队。	Complex 6 10 准确无误
将军既帝室之胄，信义著于四海，总揽英雄，思贤如渴，若跨有荆、益，保其岩阻，西和诸戎，南抚彝、越，外结孙权，内修政理；待天下有变，则命一上将将荆州之兵以向宛洛，将军身率益州之众以出秦川，百姓有不箪食壶浆以迎将军者乎？	Hard 96 100 箪食壶浆
一种是所谓的人择原理，它可被重述如下：宇宙之所以是这种样子，是因为否则的话，我们就不会在这里观测它。	Complex 6 10 人择原理
这里有麻雀、乌鸦、鹧鸪，多着呢，夜莺倒是只有一个！	Complex 9 11 鹧鸪
3百万电子伏特的电子感应加速器，这个加速器完全有能力产生一束反电子。	Hard 30 33 反电子
余闻者甚夥，久记于心；尔后虽多用于《神鞭》、《三寸金莲》等书，仍有一些故事人物，闲置一旁，未被采纳。	Hard 3 5 甚夥
那时，我的舅父杨子敬先生每天晚饭后必给我们几个表兄妹讲一段《三国演义》，我听得津津有味，什么“宴桃园豪杰三结义，斩黄巾英雄首立功”，真是好听极了。	Complex 39 43 津津有味
请科学家们不要见笑，我以为世界之所以还有待于改进者，全因为有这些奴才的缘故。	Complex 19 22 有待于
雨中游人稀少，静谧的湖山，都由爱雨的人管领了。	Hard 19 21 管领
当公寓里的伙伴替我提了随身小提箱，领我到这房间来的时候，我瞥见这绿影，感觉到一种喜悦，便毫不犹疑地决定下来，这样了截爽直使公寓里伙计都惊奇了。	Hard 56 60 了截爽直
第二天的生意不错，可是躺了两天，他的脚脖子肿得象两条瓠子似的，再也抬不起来。	Hard 26 28 瓠子
我特意把蔓儿从竹竿的左边绕着缠上去。	Complex 4 6 蔓儿
我们平时使用的光盘，就是激光存储信息的载体。	Hard 19 21 载体
可是每逢我的病人开始盘算有多少辆马车送他出殡的时候，我就得把医药的治疗力量减去百分之五十。	Hard 20 22 出殡
大索城中；无，则之郭，之村，之山僻，之邻府州县。	Hard 1 2 索
极天云一线异色，须臾成五采。	Hard 8 10 须臾
人们可以对我们具有确定证据的那些星系和星系团中的暗物质的量作一个相当可靠的估算。	Hard 24 27 暗物质
两个虞候口里不言，肚中寻思：“这厮不值得便骂人！”	Hard 2 4 虞候
羿又伸手拔箭，准备射下最后一个太阳。	Hard 0 1 羿
他认为集邮是他一天劳累以后最好的休息方式。	Complex 3 5 集邮
后来，进剃头铺子的次数多了，才知道，剃头师傅的确最堪信赖。	Complex 4 8 剃头铺子
像鸽子笼一般地分得均匀，每边八排，每排五户，一共八十户一楼一底的房屋，每间工房的楼上楼下，平均住着三十二三个“懒虫”和“猪猡”，所以，除了“带工”老板、老板娘、他们的家族亲戚和穿拷绸衣服的同一职务的打杂、请愿警之外，这工房区域的墙圈里面住着二千左右衣服褴褛而替别人制造衣料的“猪猡”。	Hard 60 62 猪猡
我心里不由得泛起一阵同情和怜悯，大家都屏息凝神地望着他。	Complex 13 15 怜悯
带头的坐在船头上，头上缠裹着红布包头，手上拿两支小令旗，左右挥动，指挥船只的进退。	Complex 11 13 缠裹
“作善降祥”的古训，六朝人本已有些怀疑了，他们作墓志，竟会说“积善不报，终自欺人”的话。	Hard 36 40 终自欺人
我做的往往是诸葛亮、刘备一类的文角儿；只有一次我做史文恭，被花荣一箭从椅子上射倒下去，这算是我最活泼的玩艺儿了。	Hard 51 54 玩艺儿
